site,lat,lon
阿蘇神社,32.947987,131.115884
粟鹿神社,35.3007468,134.9048996
安房神社,34.9224406,139.8368215
伊雑宮,34.3801627,136.8088604
伊射波神社,34.473412,136.8740913
伊太祁曽神社,34.2017017,135.2500017
伊和神社,35.0875599,134.5864722
伊弉諾神宮,34.4600042,134.8524728
一宮神社,33.96165,133.27944
一之宮貫前神社,36.254991,138.857746
宇佐神宮,33.5260019,131.3746381
宇倍神社,35.4809101,134.268795
宇倍神社,35.4809101,134.268795
賀茂御祖神社,35.0391839,135.7730066
賀茂別雷神社,35.0592809,135.7525297
海神神社,34.4641143,129.2833408
寒川神社,35.3795769,139.3834189
敢国神社,34.787378,136.163941
気多神社,36.800206,137.0443117
吉備津神社,34.670717,133.850654
吉備津神社,34.670717,133.850654
吉備津彦神社,34.6767,133.863859
居多神社,37.1664464,138.2232153
興神社,33.7697712,129.731742
興神社,34.508964,136.787857
玉前神社,35.376114,140.360519
玉前神社,35.3747147,140.3637606
玉祖神社,34.0577071,131.5336502
建部大社,34.973499,135.9135046
厳原八幡宮神社,34.2062704,129.2892874
厳島神社,34.2959584,132.3198506
香取神宮,35.885942,140.5289394
高瀬神社,36.571888,136.948256
高良大社,33.3015999,130.565919
三嶋大社,35.1224543,138.9188137
事任八幡宮,34.7983964,138.0754499
鹿児島神宮,31.75352569999999,130.7380221
鹿島神宮,35.969017,140.631234
射水神社,36.7487837,137.0214994
若狭彦神社,35.47896,135.780092
住吉神社,33.5859192,130.4137369
住吉神社,33.5859192,130.4137369
住吉大社,34.6127972,135.4929406
出雲大社,35.402035,132.685456
出雲大神宮,35.05912259999999,135.5783058
出石神社,35.48205799999999,134.870303
小国神社,34.847355,137.899441
小野神社,35.6529762,139.4425024
上一宮大粟神社,33.9709962,134.3669559
新田神社,35.565814,139.691265
新田神社,35.5208375,139.7063304
真清田神社,35.3075658,136.8020938
諏訪大社,35.9981469,138.1194743
水若酢神社,36.2802442,133.2490281
西寒多神社,33.1726724,131.5984288
石部神社,36.406607,136.5028193
千栗八幡宮,33.3314209,130.4787159
浅間神社,36.3413173,138.5471769
大山祇神社,34.2479128,133.005805
大神神社,34.5287714,135.8530095
大鳥大社,34.5367365,135.4607831
大麻比古神社,34.170972,134.502569
丹生都比売神社,34.2627276,135.5220127
中山神社,35.1001861,133.9946811
鳥海山大物忌神社,39.0974995,140.048647
椿大神社,34.9642395,136.4515594
天手長男神社,33.764076,129.702467
天津神社,35.0304905,135.7324277
田村神社,34.2864964,134.0273165
都々古別神社,36.9945683,140.3920822
都都古和氣神社,37.0320717,140.3759179
都農神社,32.2631171,131.5586678
都波岐神社,34.901281,136.601313
砥鹿神社,34.847618,137.4212163
度津神社,37.860261,138.330632
土佐神社,33.59265,133.576985
南宮大社,35.3607422,136.525045
南宮大社,35.371495,136.5251668
二荒山神社,36.7584491,139.5964386
二荒山神社,36.7584491,139.5964386
日前神宮・國懸神宮,34.2289718,135.2027944
白山比咩神社,36.434842,136.636214
八倉比売神社,34.0557745,134.4649097
飛騨一宮水無神社,36.0853323,137.2518539
氷川神社,35.9167055,139.6297722
富士山本宮浅間大社,35.2271861,138.6101238
物部神社,35.1549415,132.5134531
枚岡神社,34.669946,135.6507191
枚聞神社,31.20797,130.539959
由良比女神社,36.0919489,132.9878563
雄山神社,36.6888784,137.3567845
倭文神社,35.490329,133.902974
彌彦神社,37.7072517,138.8267029
柞原八幡宮,33.2383366,131.551
氣多大社,36.9260091,136.7674614
氣比神宮,35.6549509,136.0747318
筥崎宮,33.6145927,130.4234048
籠神社,35.58278370000001,135.1967015
籠神社,35.5865169,135.1985364
與止日女神社,33.3263982,130.2682719
鹽竈神社,38.3184997,141.0133839
