国名,社名,所在地
肥後国,阿蘇神社,熊本県阿蘇市
但馬国,粟鹿神社,兵庫県朝来市
安房国,安房神社,千葉県館山市
志摩国,伊雑宮,三重県志摩市
志摩国,伊射波神社,三重県鳥羽市
紀伊国,伊太祁曽神社,和歌山県和歌山市
播磨国,伊和神社,兵庫県宍粟市
淡路国,伊弉諾神宮,兵庫県淡路市
阿波国,一宮神社,徳島県徳島市
上野国,一之宮貫前神社,群馬県富岡市
豊前国,宇佐神宮,大分県宇佐市
因幡国,宇倍神社,鳥取県鳥取市
山城国,賀茂御祖神社,京都府京都市左京区
山城国,賀茂別雷神社,京都府京都市北区
対馬国,海神神社,長崎県対馬市
相模国,寒川神社,神奈川県高座郡寒川町
伊賀国,敢国神社,三重県伊賀市
越中国,気多神社,富山県高岡市
備中国,吉備津神社,岡山県岡山市北区
備後国,吉備津神社,広島県福山市
備前国,吉備津彦神社,岡山県岡山市北区
越後国,居多神社,新潟県上越市
壱岐国,興神社,長崎県壱岐市
上総国,玉前神社,千葉県長生郡一宮町
周防国,玉祖神社,山口県防府市
近江国,建部大社,滋賀県大津市
対馬国,厳原八幡宮神社,長崎県対馬市
安芸国,厳島神社,広島県廿日市市
下総国,香取神宮,千葉県香取市
越中国,高瀬神社,富山県南砺市
筑後国,高良大社,福岡県久留米市
伊豆国,三嶋大社,静岡県三島市
遠江国,事任八幡宮,静岡県掛川市
大隅国,鹿児島神宮,鹿児島県霧島市
常陸国,鹿島神宮,茨城県鹿嶋市
越中国,射水神社,富山県高岡市
若狭国,若狭彦神社,福井県小浜市
長門国,住吉神社,山口県下関市
筑前国,住吉神社,福岡県福岡市博多区
摂津国,住吉大社,大阪府大阪市住吉区
出雲国,出雲大社,島根県出雲市
丹波国,出雲大神宮,京都府亀岡市
但馬国,出石神社,兵庫県豊岡市
遠江国,小国神社,静岡県周智郡森町
武蔵国,小野神社,東京都多摩市
阿波国,上一宮大粟神社,徳島県名西郡神山町
薩摩国,新田神社,鹿児島県薩摩川内市
尾張国,真清田神社,愛知県一宮市
信濃国,諏訪大社,長野県諏訪市・茅野市・諏訪郡下諏訪町
隠岐国,水若酢神社,島根県隠岐郡隠岐の島町
豊後国,西寒多神社,大分県大分市
加賀国,石部神社,石川県小松市
肥前国,千栗八幡宮,佐賀県三養基郡みやき町
甲斐国,浅間神社,山梨県笛吹市
伊予国,大山祇神社,愛媛県今治市
大和国,大神神社,奈良県桜井市
和泉国,大鳥大社,大阪府堺市西区
阿波国,大麻比古神社,徳島県鳴門市
紀伊国,丹生都比売神社,和歌山県伊都郡かつらぎ町
美作国,中山神社,岡山県津山市
出羽国,鳥海山大物忌神社,山形県飽海郡遊佐町
伊勢国,椿大神社,三重県鈴鹿市
壱岐国,天手長男神社,長崎県壱岐市
越後国,天津神社,新潟県糸魚川市
讃岐国,田村神社,香川県高松市
陸奥国,都々古別神社,福島県東白川郡棚倉町
陸奥国,都都古和氣神社,福島県東白川郡棚倉町
日向国,都農神社,宮崎県児湯郡都農町
伊勢国,都波岐神社,三重県鈴鹿市
三河国,砥鹿神社,愛知県豊川市
佐渡国,度津神社,新潟県佐渡市
土佐国,土佐神社,高知県高知市
美濃国,南宮大社,岐阜県不破郡垂井町
下野国,二荒山神社,栃木県宇都宮市
下野国,二荒山神社,栃木県日光市
紀伊国,日前神宮・國懸神宮,和歌山県和歌山市
加賀国,白山比咩神社,石川県白山市
阿波国,八倉比売神社,徳島県徳島市
飛騨国,飛騨一宮水無神社,岐阜県高山市
武蔵国,氷川神社,埼玉県さいたま市大宮区
駿河国,富士山本宮浅間大社,静岡県富士宮市
石見国,物部神社,島根県大田市
河内国,枚岡神社,大阪府東大阪市
薩摩国,枚聞神社,鹿児島県指宿市
隠岐国,由良比女神社,島根県隠岐郡西ノ島町
越中国,雄山神社,富山県中新川郡立山町
伯耆国,倭文神社,鳥取県東伯郡湯梨浜町
越後国,彌彦神社,新潟県西蒲原郡弥彦村
豊後国,柞原八幡宮,大分県大分市
能登国,氣多大社,石川県羽咋市
越前国,氣比神宮,福井県敦賀市
筑前国,筥崎宮,福岡県福岡市東区
丹後国,籠神社,京都府宮津市
肥前国,與止日女神社,佐賀県佐賀市
陸奥国,鹽竈神社,宮城県塩竈市
